行政區域代碼,業者名稱店名,食品業者登錄字號,地址,評核結果
63000010,五花馬-松山機場,A-154060356-00002-9,臺北市松山區敦化北路340之10號2樓,優
63000010,林翠華養生饅頭-松山機場,A-202265142-00001-2,臺北市松山區敦化北路340之10號2樓,優
63000010,二師兄肉羹-松山機場,A-183048655-00006-3,臺北市松山區敦化北路340之10號2樓,優
63000010,麥當勞民生二和德昌(股)公司,A-112411160-00927-2,臺北市松山區民生東路5段234號,優
63000040,麥當勞 - 台北北安,A-112411160-01008-3,臺北市中山區北安路626號1樓,優
63000040,麥當勞-長春,A-112411160-00856-3,臺北市中山區長春路172號,優
63000040,麥當勞-台北民權II分公司,A-112411160-00907-0,臺北市中山區民權東路2段43號1樓,優
63000040,韓姜熙的小廚房 - 台北大直店,A-128841757-00112-4,臺北市中山區敬業三路20號B1,優
63000040,台北中山雅樂軒酒店,A-142647488-00001-2,臺北市中山區雙城街1號,優
63000040,Mo-Mo-Paradise台北中山牧場,A-116098275-00011-8,臺北市中山區南京西路6號2樓,優
63000010,麥當勞-民權一,A-112411160-00900-3,臺北市松山區民權東路3段128號1樓,優
63000010,麥當勞-台北南京六,A-112411160-01715-8,臺北市松山區南京東路4段57號,優
63000010,樂雅樂餐廳-敦化店,A-123932737-00003-7,臺北市松山區敦化北路199巷9號1樓,優
63000080,大來自助餐-台北市萬芳醫院,A-154280160-00002-6,臺北市文山區興隆路3段111號B1,優
63000080,我家養生料理-台北市萬芳醫院,A-137884600-00001-5,臺北市文山區興隆路3段111號B1,優
63000110,乾杯股份有限公司-黑毛屋(SOGO天母店),A-170443909-00046-4,臺北市士林區臺北市士林區中山北路6段77號8樓,優
63000110,麥當勞-台北德行餐廳,A-112411160-00945-2,臺北市士林區臺北市士林區德行東路227號1樓,優
63000110,麥當勞-重北一餐廳,A-112411160-00862-0,臺北市士林區臺北市士林區重慶北路4段123號,優
63000050,西雅圖極品咖啡-台大醫院店,A-116852172-00045-9,臺北市中正區中山南路7號,優
63000050,乾杯股份有限公司-黑毛屋(微風北車店),A-170443909-00048-6,臺北市中正區北平西路3號2樓,優
63000050,台北凱撒大飯店-王朝中餐廳,A-103631207-00003-3,臺北市中正區忠孝西路1段38號,優
63000050,凱撒大飯店-checkers自助餐,A-103631207-00002-2,臺北市中正區忠孝西路1段38號2樓,優
63000050,麥當勞-台北濟南,A-112411160-00931-7,臺北市中正區濟南路2段66號1樓,優
63000080,麥當勞-台北木柵店,A-112411160-00952-0,臺北市文山區木柵路3段57號1樓,優
63000080,麥當勞-台北指南店,A-112411160-00990-2,臺北市文山區指南路2段67號1樓,優
63000070,肉多多-台北西門營業所,A-183053426-00085-2,臺北市萬華區漢中街42號4樓,優
63000070,麥當勞-昆明,A-112411160-00832-7,臺北市萬華區昆明街92之4號,優
63000020,麥當勞-松山車站,A-112411160-01200-7,臺北市信義區松山路11號1樓,優
63000090,樂雅樂餐廳-南港店,A-123932737-00010-5,臺北市南港區經貿二路66之1號,優
63000090,涓豆腐-南港車站店,A-128841757-00043-7,臺北市南港區忠孝東路7段369號8樓C棟,優
63000090,乾杯-南港中信店,A-170443909-00027-3,臺北市南港區經貿二路186之1號2樓,優
63000020,台北艾麗酒店-宴會廳,A-153098740-00002-6,臺北市信義區松高路18號5樓,優
63000020,台北艾麗酒店-La Farfalla,A-153098740-00001-5,臺北市信義區松高路18號6樓,優
63000020,黑毛屋本家-信義店,A-170443909-00022-8,臺北市信義區松高路19號6樓,優
63000020,老乾杯-信義店,A-170443909-00014-9,臺北市信義區松壽路9號8樓,優
63000020,麥當勞-新光信義,A-112411160-01105-1,臺北市信義區松高路12號B2,優
63000060,三澧企業股份有限公司-天吉屋 台北京站店,A-116098275-00017-4,臺北市大同區承德路1段1號1樓,優
63000060,三澧企業股份有限公司-BELLINI Pasta Pasta 台北京站店,A-116098275-00023-1,臺北市大同區承德路1段1號4樓,優
63000060,三澧企業股份有限公司 Mo-Mo-Paradise 台北京站牧場,A-116098275-00009-5,臺北市大同區承德路1段1號4樓,優
63000060,和德昌股份有限公司 麥當勞-台北承德,A-112411160-00960-9,臺北市大同區承德路1段34-36號1樓，32號2樓之1,優
63000010,紅蕃茄餐飲-臺北市立中崙高中 ,A-124399710-00036-2,臺北市松山區八德路4段101號,優
63000070,築間-台北西門町店,A-183293333-00019-2,臺北市萬華區昆明街92之1號2樓,優
63000070,樂麵屋 (西門店),A-128514120-00005-6,臺北市萬華區昆明街25號,優
63000070,兩餐年糕火鍋吃到飽 西門店,A-145899471-00013-9,臺北市萬華區西寧南路123號4樓,優
63000070,石二鍋台北家樂福桂林店,A-161210008-00036-5,臺北市萬華區桂林路1號,優
63000040,築間餐飲事業股份有限公司-築間-台北南京二店,A-183293333-00016-9,臺北市中山區臺北市中山區南京東路1段138號2樓,優
63000040,匡振股份有限公司-壹品宴,A-123157756-00001-5,臺北市中山區臺北市中山區南京東路2段63號2樓,良
63000040,品粹國際股份有限公司-Molino de Urdániz 渥達尼斯磨坊,A-124970147-00001-3,臺北市中山區建國北路1段61號GF,優
63000040,鬍鬚張股份有限公司-鬍鬚張-台北吉林店,A-122721208-00011-4,臺北市中山區吉林路220號,優
63000040,登峰旅館股份有限公司-薇閣精品旅館-大直館,A-127316811-00001-8,臺北市中山區敬業三路11號,優
63000040,荃鴻股份有限公司Krispy Kreme-美麗華,A-154055473-00016-8,臺北市中山區敬業三路20號B1,優
63000040,鬍鬚張股份有限公司鬍鬚張-大直北安店,A-122721208-00031-6,臺北市中山區北安路631號,優
63000040,台北國賓大飯店-國賓中餐廳,A-111636802-00001-6,臺北市中山區遼寧街177號2樓,優
63000040,台北國賓大飯店-A CUT牛排館,A-111636802-00004-9,臺北市中山區遼寧街177號2樓,優
63000110,臺北市士林區文昌國民小學駐點廚房 (上將食品),A-131008061-00001-8,臺北市士林區文林路615巷20號,優
63000110,臺北市私立華興高級中等學校廚房,A-101056109-00001-1,臺北市士林區仰德大道1段101號,優
63000110,開飯川食堂-天母店,A-179955280-00199-2,臺北市士林區忠誠路2段55號5樓,優
63000110,饗泰多-天母店,A-179955280-00200-5,臺北市士林區忠誠路2段55號5樓,優
63000110,果然匯-天母店,A-179955280-00201-6,臺北市士林區忠誠路2段55號B1,優
63000050,beard papa 微風北車店,A-180292991-00002-0,臺北市中正區北平西路3號1樓,優
63000050,徹思叔叔起司蛋糕-微風北車店,A-153740383-00009-0,臺北市中正區北平西路3號1樓,優
63000050,老董牛肉麵-微風台大醫院店,A-194050426-00006-4,臺北市中正區中山南路7號B1,優
63000050,安永鮮食-微風台大醫院店,A-153949524-00027-8,臺北市中正區中山南路7號B1,優
63000050,明德素食園-微風台大醫院店,A-127787256-00002-4,臺北市中正區中山南路7號B1,優
63000050,太傻包子-微風台大醫院店,A-278958562-00001-0,臺北市中正區中山南路7號B1,優
63000050,鬍鬚張-台北南昌店,A-122721208-00027-1,臺北市中正區南昌路1段70號,優
63000050,鬍鬚張-台北華山店,F-122721208-00050-2,臺北市中正區忠孝東路1段150號,優
63000040,石二鍋台北民權東店,A-161210008-00025-3,臺北市中山區民權東路3段19號,優
63000010,松山機場聯合貴賓室(高雄空廚公司),A-170750455-00015-7,臺北市松山區敦化北路340之9號3樓,優
63000120,大地酒店-奇岩一號,A-153952668-00007-9,臺北市北投區奇岩路1號,優
63000120,大地酒店-月兒彎彎,A-153952668-00005-7,臺北市北投區奇岩路1號,優
63000110,劍潭國小廚房 (味安餐飲),A-183160925-00012-5,臺北市士林區通河街16號,優
63000050,螢橋國小廚房 (味安餐飲),A-183160925-00013-6,臺北市中正區詔安街29號,優
63000010,松山國小廚房 (味安餐飲),A-183160925-00007-9,臺北市松山區八德路4段746號,優
63000030,幸安國民小學午餐廚房 (中原食品),A-122640634-00021-8,臺北市大安區仁愛路3段22號,優
63000100,鬍鬚張-內湖湖光店,A-122721208-00079-8,臺北市內湖區功路3段177號1樓,優
63000100,南湖國民小學午餐廚房(中原食品),A-122640634-00019-5,臺北市內湖區康寧路3段200號,優
63000100,麗山國民小學駐點廚房 (上將食品),A-108611406-00001-5,臺北市內湖區港華街100號,優
63000090,宮保王食品有限公司,A-197307955-00001-4,臺北市南港區南港路3段149巷49弄12、14號,優
63000040,佳善自助餐-實踐大學店,A-200234907-00001-5,臺北市中山區大直街70號,優
63000040,輔大豬排-實踐大學店,A-200132697-00000-7,臺北市中山區大直街70號,優
