行政區域代碼,公司名稱,品牌名稱,產品名稱,原料名稱,原料品牌,每一份量,熱量大卡,相關資訊連結
63000000,和德昌股份有限公司,麥當勞,義式濃縮咖啡,100%阿拉比卡咖啡豆,麥當勞,約45ml,6,https://foodtracer.taipei.gov.tw/Front/UniPages/CustPageView?fid=0b7e6364-ef37-4754-bfbd-f5ad4665934f&mid=04b1af3a-66ec-4aa4-a437-2141b1ae9fac&company_id=12411160&itemno=104
63000000,和德昌股份有限公司,麥當勞,冰經典美式咖啡,100%阿拉比卡咖啡豆,麥當勞,約340ml,20,https://foodtracer.taipei.gov.tw/Front/UniPages/CustPageView?fid=0b7e6364-ef37-4754-bfbd-f5ad4665934f&mid=04b1af3a-66ec-4aa4-a437-2141b1ae9fac&company_id=12411160&itemno=105
63000000,和德昌股份有限公司,麥當勞,經典美式咖啡,100%阿拉比卡咖啡豆,麥當勞,約320ml,15,https://foodtracer.taipei.gov.tw/Front/UniPages/CustPageView?fid=0b7e6364-ef37-4754-bfbd-f5ad4665934f&mid=04b1af3a-66ec-4aa4-a437-2141b1ae9fac&company_id=12411160&itemno=106
63000000,和德昌股份有限公司,麥當勞,熱經典那堤,牛乳,麥當勞,約300ml,123,https://foodtracer.taipei.gov.tw/Front/UniPages/CustPageView?fid=0b7e6364-ef37-4754-bfbd-f5ad4665934f&mid=04b1af3a-66ec-4aa4-a437-2141b1ae9fac&company_id=12411160&itemno=63
63000000,和德昌股份有限公司,麥當勞,熱經典那堤,100%阿拉比卡咖啡豆,麥當勞,約300ml,123,https://foodtracer.taipei.gov.tw/Front/UniPages/CustPageView?fid=0b7e6364-ef37-4754-bfbd-f5ad4665934f&mid=04b1af3a-66ec-4aa4-a437-2141b1ae9fac&company_id=12411160&itemno=63
63000000,和德昌股份有限公司,麥當勞,熱經典卡布奇諾,牛乳,麥當勞,約300ml,148,https://foodtracer.taipei.gov.tw/Front/UniPages/CustPageView?fid=0b7e6364-ef37-4754-bfbd-f5ad4665934f&mid=04b1af3a-66ec-4aa4-a437-2141b1ae9fac&company_id=12411160&itemno=65
63000000,和德昌股份有限公司,麥當勞,熱經典卡布奇諾,100%阿拉比卡咖啡豆,麥當勞,約300ml,148,https://foodtracer.taipei.gov.tw/Front/UniPages/CustPageView?fid=0b7e6364-ef37-4754-bfbd-f5ad4665934f&mid=04b1af3a-66ec-4aa4-a437-2141b1ae9fac&company_id=12411160&itemno=65
63000000,和德昌股份有限公司,麥當勞,熱經典卡布奇諾,巧克力粉,麥當勞,約300ml,148,https://foodtracer.taipei.gov.tw/Front/UniPages/CustPageView?fid=0b7e6364-ef37-4754-bfbd-f5ad4665934f&mid=04b1af3a-66ec-4aa4-a437-2141b1ae9fac&company_id=12411160&itemno=65
63000000,和德昌股份有限公司,麥當勞,熱經典卡布奇諾,肉桂粉,麥當勞,約300ml,148,https://foodtracer.taipei.gov.tw/Front/UniPages/CustPageView?fid=0b7e6364-ef37-4754-bfbd-f5ad4665934f&mid=04b1af3a-66ec-4aa4-a437-2141b1ae9fac&company_id=12411160&itemno=65
63000000,和德昌股份有限公司,麥當勞,冰經典那堤,牛乳,麥當勞,約280ml,117,https://foodtracer.taipei.gov.tw/Front/UniPages/CustPageView?fid=0b7e6364-ef37-4754-bfbd-f5ad4665934f&mid=04b1af3a-66ec-4aa4-a437-2141b1ae9fac&company_id=12411160&itemno=66
63000000,和德昌股份有限公司,麥當勞,冰經典那堤,100%阿拉比卡咖啡豆,麥當勞,約280ml,117,https://foodtracer.taipei.gov.tw/Front/UniPages/CustPageView?fid=0b7e6364-ef37-4754-bfbd-f5ad4665934f&mid=04b1af3a-66ec-4aa4-a437-2141b1ae9fac&company_id=12411160&itemno=66
63000000,和德昌股份有限公司,麥當勞,蜂蜜紅茶(冰),冰紅茶(無糖),麥當勞,約450 ml,138,https://foodtracer.taipei.gov.tw/Front/UniPages/CustPageView?fid=0b7e6364-ef37-4754-bfbd-f5ad4665934f&mid=04b1af3a-66ec-4aa4-a437-2141b1ae9fac&company_id=12411160&itemno=269
63000000,和德昌股份有限公司,麥當勞,蜂蜜紅茶(冰),冰塊,麥當勞,約450 ml,138,https://foodtracer.taipei.gov.tw/Front/UniPages/CustPageView?fid=0b7e6364-ef37-4754-bfbd-f5ad4665934f&mid=04b1af3a-66ec-4aa4-a437-2141b1ae9fac&company_id=12411160&itemno=269
63000000,和德昌股份有限公司,麥當勞,蜂蜜紅茶(冰),龍眼荔枝蜜,麥當勞,約450 ml,138,https://foodtracer.taipei.gov.tw/Front/UniPages/CustPageView?fid=0b7e6364-ef37-4754-bfbd-f5ad4665934f&mid=04b1af3a-66ec-4aa4-a437-2141b1ae9fac&company_id=12411160&itemno=269
63000000,和德昌股份有限公司,麥當勞,蜂蜜奶茶(冰),冰紅茶(無糖),麥當勞,約450ml,212,https://foodtracer.taipei.gov.tw/Front/UniPages/CustPageView?fid=0b7e6364-ef37-4754-bfbd-f5ad4665934f&mid=04b1af3a-66ec-4aa4-a437-2141b1ae9fac&company_id=12411160&itemno=282
63000000,和德昌股份有限公司,麥當勞,蜂蜜奶茶(冰),冰塊,麥當勞,約450ml,212,https://foodtracer.taipei.gov.tw/Front/UniPages/CustPageView?fid=0b7e6364-ef37-4754-bfbd-f5ad4665934f&mid=04b1af3a-66ec-4aa4-a437-2141b1ae9fac&company_id=12411160&itemno=282
63000000,和德昌股份有限公司,麥當勞,蜂蜜奶茶(冰),龍眼荔枝蜜,麥當勞,約450ml,212,https://foodtracer.taipei.gov.tw/Front/UniPages/CustPageView?fid=0b7e6364-ef37-4754-bfbd-f5ad4665934f&mid=04b1af3a-66ec-4aa4-a437-2141b1ae9fac&company_id=12411160&itemno=282
63000000,和德昌股份有限公司,麥當勞,蜂蜜奶茶(冰),厚牛乳,麥當勞,約450ml,212,https://foodtracer.taipei.gov.tw/Front/UniPages/CustPageView?fid=0b7e6364-ef37-4754-bfbd-f5ad4665934f&mid=04b1af3a-66ec-4aa4-a437-2141b1ae9fac&company_id=12411160&itemno=282
63000000,和德昌股份有限公司,麥當勞,蜂蜜奶茶(熱),龍眼荔枝蜜,麥當勞,約320 ml,177,https://foodtracer.taipei.gov.tw/Front/UniPages/CustPageView?fid=0b7e6364-ef37-4754-bfbd-f5ad4665934f&mid=04b1af3a-66ec-4aa4-a437-2141b1ae9fac&company_id=12411160&itemno=288
63000000,和德昌股份有限公司,麥當勞,蜂蜜奶茶(熱),熱紅茶,McCafé,約320 ml,177,https://foodtracer.taipei.gov.tw/Front/UniPages/CustPageView?fid=0b7e6364-ef37-4754-bfbd-f5ad4665934f&mid=04b1af3a-66ec-4aa4-a437-2141b1ae9fac&company_id=12411160&itemno=288
63000000,和德昌股份有限公司,麥當勞,蜂蜜奶茶(熱),厚牛乳,麥當勞,約320 ml,177,https://foodtracer.taipei.gov.tw/Front/UniPages/CustPageView?fid=0b7e6364-ef37-4754-bfbd-f5ad4665934f&mid=04b1af3a-66ec-4aa4-a437-2141b1ae9fac&company_id=12411160&itemno=288
63000000,和德昌股份有限公司,麥當勞,冰經典卡布奇諾,冰塊,麥當勞,約280ml,110,https://foodtracer.taipei.gov.tw/Front/UniPages/CustPageView?fid=0b7e6364-ef37-4754-bfbd-f5ad4665934f&mid=04b1af3a-66ec-4aa4-a437-2141b1ae9fac&company_id=12411160&itemno=298
63000000,和德昌股份有限公司,麥當勞,冰經典卡布奇諾,牛乳,麥當勞,約280ml,110,https://foodtracer.taipei.gov.tw/Front/UniPages/CustPageView?fid=0b7e6364-ef37-4754-bfbd-f5ad4665934f&mid=04b1af3a-66ec-4aa4-a437-2141b1ae9fac&company_id=12411160&itemno=298
