抽驗日期,檢體名稱,抽驗地點,檢驗結果,不符合規定原因
20260325,結球白菜,新北市汐止區汐止國小,不符合規定,殺菌劑Thifluzamide 賽氟滅0.16ppm(標準：不得檢出)
20260310,地瓜球,三統食品有限公司,不符合規定,殺菌劑Dimethomorph 達滅芬2.9ppm(標準：2.5ppm以下)  殺蟲劑Indoxacarb 因得克0.03ppm(標準：0.01ppm以下)
20260319,麥片,新北市三重區三重國小,不符合規定,殺蟲劑Fipronil芬普尼0.001ppm、Fipronil-sulfone芬普尼代謝物0.003ppm，合計共0.004ppm（標準：0.001ppm以下）
20260314,油菜,旭暘科技農業股份有限公司,不符合規定,殺蟲劑Deltamethrin 第滅寧1.0ppm(標準：0.5ppm以下)  殺菌劑Difenoconazole 待克利3.4ppm(標準：0.5ppm以下)
20260322,玉米醬罐頭,新北市三重區五華國小,不符合規定,殺菌劑Cyprodinil	賽普洛0.04ppm(標準：0.01ppm以下)
20260319,小湯圓,新北市汐止區秀峰國小,不符合規定,殺蟲劑Thiamethoxam 賽速安0.46ppm(標準：0.25ppm以下)
20260311,甜玉米,新北市板橋區溪洲國小,不符合規定,殺蟲劑Cyantraniliprole 賽安勃0.02ppm(標準：不得檢出)
20260316,雞蛋,中一食品股份有限公司,不符合規定,殺蟲劑Fipronil-sulfone芬普尼代謝物0.004ppm（標準：0.001ppm以下）
20260322,貢丸,巨富工業有限公司,不符合規定,"二‧四地（2,4-D）:0.1ppm （標準:0.05ppm）"
20260314,結球白菜,新北市果菜運銷股份有限公司,不符合規定,殺菌劑Difenoconazole 待克利2.7ppm(標準：0.5ppm以下)  殺蟎劑Pyridaben 畢達本0.8ppm(標準：0.5ppm以下)
20260312,杏鮑菇,義庄合作農場,不符合規定,殺菌劑Cyprodinil賽普洛0.8ppm（標準：0.5ppm以下）
20260331,雞骨,超秦企業股份有限公司,不符合規定,殺草劑Ametryn 草殺淨0.04ppm(標準：不得檢出)  殺菌劑Hexaconazole 菲克利0.02ppm(標準：0.01ppm以下)
20260318,蒟蒻小卷,新北市三重區修德國小,不符合規定,殺蟲劑Flonicamid	氟尼胺0.22ppm(標準：0.01ppm以下)
20260311,青木瓜,良朋農產有限公司,不符合規定,殺草劑Ametryn 草殺淨0.02ppm(標準：不得檢出)  殺蟲劑Indoxacarb 因得克0.05ppm( 標準：0.01ppm以下)
20260313,韓式泡菜,新北市平溪區平溪國中,不符合規定,乃卡巴精(nicarbazin): 0.016 ppm (標準:不得檢出)
20260312,豆包,新北市板橋區海山國小,不符合規定,砷:0.35 mg/kg (標準:0.2 mg/kg以下)
20260309,有機山茼蒿,新北市金山區三和國小,不符合規定,腸桿菌科：2.1x10^3 CFU/mL (標準：10 CFU/mL)
20260312,白年糕,溫師傅食品有限公司,不符合規定,腸桿菌科：3.2x10^2 CFU/g (標準：10 CFU/g)
20260311,結頭菜,新北市蘆洲區蘆洲國小,不符合規定,腸桿菌科：18 CFU/mL (標準：10 CFU/mL)
20260306,結球白菜,新北市永和區永和國小,不符合規定,殺蟎劑Spirodiclofen 賜派芬0.07ppm(標準：0.01ppm以下)
20260319,刀削麵,鵬記食品股份有限公司,不符合規定,1.蘇丹三號-4ppb (標準：不得檢出) 2.克美素-0.06ppm (標準：不得檢出)
20260308,鴻喜菇,新北市鶯歌區昌福國小,不符合規定,殺菌劑Dimethomorph 達滅芬4.1ppm(標準：2.5ppm以下)
20260319,四角油豆腐,春豐豆類食品股份有限公司,不符合規定,腸桿菌科：40 CFU/g (標準：10 CFU/g)
20260305,麵腸,新北市樹林區三多國中,不符合規定,1.殺菌劑四克利(Tetraconazole)：0.09ppm(標準：0.01ppm)
20260325,肉絲,芬芳烹材食品公司,不符合規定,殺菌劑Difenoconazole	待克利1.4ppm(標準：0.5ppm以下)
20260322,帶皮雞胸肉(肉雞),佳世福有限公司,不符合規定,1.黃麴毒素B1：27.3µg/kg（標準：2µg/kg以下）及總黃麴毒素：33.5µg/kg（標準：4µg/kg以下） 2.產品外包裝未標示「內容物名稱」、「淨重、容量或數量」、「製造廠商或國內負責廠商名稱」、「原產地 （國）」、「營養標示」，且未標示「有效日期」字樣
20260329,冷凍玉米筍,新北市汐止區汐止國小,不符合規定,未標示原產地（國）、有效日期標示單獨黏貼未依規定印刷於外包裝上。
20260310,燕麥,家品商行,不符合規定,殺蟲劑Bifenthrin	畢芬寧1.89ppm(標準：0.01ppm以下)	 殺菌劑Carbendazim	貝芬替0.02ppm(標準：0.01ppm以下)	 殺蟲劑Chlorfenapyr	克凡派0.09ppm(標準：0.01ppm以下)	 殺菌劑Difenoconazole	待克利0.54ppm(標準：0.01ppm以下)	 殺菌劑Dimethomorph	達滅芬0.60ppm(標準：0.01ppm以下)	 殺蟲劑Dinotefuran	達特南0.74ppm(標準：不得檢出) 殺蟲劑Fenvalerate	芬化利0.26ppm(標準：0.01ppm以下)	 殺蟲劑Flubendiamide	氟大滅0.56ppm(標準：不得檢出)	 殺菌劑Fluopicolide	氟比來0.03ppm(標準：0.01ppm以下)	 殺蟲劑Methomyl	納乃得10.26ppm(標準：不得檢出)	 殺線蟲劑Oxamyl	毆殺滅0.04ppm(標準：0.01ppm以下)	 殺菌劑Procymidone	撲滅寧0.16ppm(標準：0.01ppm以下)	 殺蟲劑Profenophos	佈飛松0.03ppm(標準：0.01ppm以下)	 殺菌劑Propamocarb hydrochloride	普拔克0.32ppm(標準：0.01ppm以下)	 殺菌劑Pyraclostrobin	百克敏0.07ppm(標準：0.01ppm以下)	 殺蟲劑Pyriproxyfen	百利普芬0.06ppm(標準：0.01ppm以下)	 殺蟎劑Spirotetramat	賜派滅0.02ppm(標準：不得檢出)	 殺菌劑Thiabendazole	腐絕0.06ppm(標準：0.01ppm以下)	 殺蟲劑Thiodicarb	硫敵克0.10ppm(標準：0.01ppm以下)
20260317,豬絞肉,新北市蘆洲區忠義國小,不符合規定,鎘:0.53 mg/kg (標準:0.05 mg/kg以下) 扶吉胺:1.57 ppm (標準:不得檢出)
20260309,蘋果,新北市石碇區雲海國小,不符合規定,殺菌劑Pyraclostrobin 百克敏0.48ppm(標準：0.01ppm以下)
20260329,糙米,新北市土城區頂埔國小,不符合規定,殺草劑Ametryn 草殺淨0.04ppm(標準：不得檢出)  殺菌劑Hexaconazole 菲克利0.02ppm(標準：0.01ppm以下)
20260301,白米,新北市蘆洲區鷺江國小,不符合規定,檢出反式脂肪酸甲基酯(15項) 0.88 g/100 mL，惟案內產品外包裝營養標示每份(10毫升)反式脂肪含量為「0」，標示不實。
20260320,蘭花干,津悅食品有限公司,不符合規定,殺蟲劑Chlorpyrifos 陶斯松0.01ppm(標準：不得檢出) 殺蟲劑Fenitrothion 撲滅松0.03ppm(標準：0.01ppm以下)  殺草劑Oxadiazon 樂滅草0.02ppm(標準：0.01ppm以下)  殺草劑Pendimethalin 施得圃0.2ppm(標準：0.1ppm以下)
20260322,番茄罐頭,十方物聯有限公司,不符合規定,殺蟎劑Bifenazate	必芬蟎0.07ppm(標準：不得檢出)
20260331,檸檬,新北市瑞芳區九份國小,不符合規定,殺蟲劑Thiamethoxam	賽速安0.48ppm(標準：0.25ppm以下)	 殺蟲劑Trichlorfon	三氯松0.04ppm(標準：0.01ppm以下)
20260327,雞腿排,新北市汐止區汐止國中,不符合規定,重金屬鎘9mg/kg（標準：2mg/kg以下）
20260329,麵腸,新北市汐止區東山國小,不符合規定,殺菌劑Thifluzamide 賽氟滅0.16ppm(標準：不得檢出)
20260328,無骨鹽酥雞,台灣優良農產運銷有限公司,不符合規定,1.殺蟲劑Cypermethrin賽滅寧0.14ppm（標準：0.03ppm以下）、殺草劑Pendimethalin施得圃0.07ppm（ 標準： 0.05ppm 以下）、殺菌劑Pydiflumetofen派滅芬0.10ppm（標準：不得檢出） 2.產品外包裝標示「檢驗合格」字樣及附有農藥殘留檢驗合格之檢驗報告，標示不實且易生誤解
20260316,麻竹筍干,十方物聯有限公司,不符合規定,1.殺蟲劑滅芬諾(Methoxyfenozide)：0.29ppm(標準：0.01ppm) 2.殺菌劑賽氟滅(Thifluzamide)：0.55ppm(標準：不得檢出)
20260320,芋頭,新北市板橋區重慶國小,不符合規定,殺菌劑Propam ocarb hydrochloride普拔克11.6ppm（標準：5.0ppm以下） 殺菌劑Tebuconazole得克利0.16ppm（標準：0.05ppm以下）
