"agency codes",sname,areacode,district,pzoon,fzoon,mark
382070100Y,板橋國小,65000010,板橋區,留侯里、流芳里、赤松里、黃石里、挹秀里、自強里、光華里、新興里、民權里、民安里、建國里,"一、湳興里【板橋、大觀、後埔國小自由學區】 二、漢生里【板橋、文德國小自由學區】 三、光榮里、社後里（1－3鄰）【板橋、國光國小自由學區】","◎ 自立里可經里辦公處證明後請板橋國小考量配合就讀。
◎ 社後里5-7鄰自110學年度起每年開放10名學童經里辦公處證明後可申請就讀板橋國小，惟須符合額滿學校之相關申請程序。"
382070300Y,後埔國小,65000010,板橋區,廣德里、福德里（1－7、26－28鄰）、仁愛里、福星里、大豐里、華興里、鄉雲里、華貴里、華福里、華東里（1－6、19-21鄰）、景星里,"一、重慶里（5－13、17－19、21－25、30－31、33－35鄰）【後埔、重慶國小自由學區】 二、後埔里（1－13鄰）【後埔、實踐國小自由學區】 三、湳興里【後埔、大觀、板橋國小自由學區】","◎  後埔里(14-17鄰)可經里辦公處證明後請後埔國小考量配合就讀。 華東里105年11月進行里鄰整編，原第4鄰改劃為第20、21鄰，原第5鄰改劃為第6鄰，原第6鄰併入第8、10鄰。"
382081000Y,新埔國小,65000010,板橋區,忠誠里、陽明里、宏翠里(1鄰除外)、仁翠里、新埔里、新翠里、朝陽里、吉翠里、滿翠里、明翠里、介壽里、百壽里、新民里（2－9、26鄰）、文化里（1－6鄰）,"一、文化里（7－17鄰）【新埔、莒光國小自由學區】 二、聯翠里【新埔、江翠國小自由學區】 三、宏翠里1鄰【新埔、文德國小自由學區】","◎文化里（1－6鄰）可經里辦公處證明後請莒光國小考量配合就讀。（5名為限） ◎介壽里、百壽里有兄姊在莒光國小就讀者，可選擇莒光國小就讀。宏翠里1鄰調整為新埔、文德國小自由學區。 宏翠里1鄰調整為文德、新埔國小自由學區
◎聯翠里自110學年度起每年開放15名學童經里辦公處證明後可申請就讀莒光國小，惟須符合額滿學校之相關申請程序。
◎文德里12鄰自112學年度起調整為文德國小及新埔國小自由學區，惟須符合額滿學校之相關申請程序。
"
382070200Y,埔墘國小,65000010,板橋區,"埔墘里（18－23鄰）、雙玉里、振興里、振義里、廣新里、玉光里、光仁里、西安里、東丘里、民生里、九如里（12、13鄰除外）、正泰里、港嘴里（8－17、21、25鄰） ","一、莊敬里【埔墘、莒光國小自由學區】 二、埤墘里【埔墘、莒光國小自由學區】",
382082200Y,海山國小,65000010,板橋區,"一、民族里、深丘里、香丘里、海山里、長安里、東安里、福丘里（8－19鄰）、九如里（12、13鄰）、新民里（1、10－25鄰） 二、中和區瑞穗里（1－6鄰）、員山里（11－22、25－35、37－42鄰）",,紅色字體部份係因105年度進行鄰里調整，調整鄰數後，不影響原學區劃分。
382070400Y,江翠國小,65000010,板橋區,江翠里、純翠里、柏翠里、文翠里、溪頭里、松翠里（1－8、14－16鄰）,"一、青翠里、松翠里（9－13、17、18鄰）【江翠、文聖國小自由學區】 二、聯翠里【江翠、新埔國小自由學區】","◎青翠里為文聖、江翠國小自由學區
◎聯翠里自110學年度起每年開放15名學童經里辦公處證明後可申請就讀莒光國小，惟須符合額滿學校之相關申請程序。
"
382081900Y,莒光國小,65000010,板橋區,永安里、華翠里、莒光里、忠翠里、華江里,"一、文化里（7－17鄰）【莒光、新埔國小自由學區】 二、莊敬里【莒光、埔墘國小自由學區】 三、港嘴里（1－3、18、22－24鄰）【莒光、文聖國小自由學區】 四、埤墘里【莒光、埔墘國小自由學區】","◎介壽里、百壽里有兄姊在莒光國小就讀者，可選擇莒光國小就讀。 ◎聯翠里、文化里（1－6鄰）可經里辦公處證明後請莒光國小考量配合就讀。（5名為限）
◎聯翠里自110學年度起每年開放15名學童經里辦公處證明後可申請就讀莒光國小，惟須符合額滿學校之相關申請程序。"
382081700Y,國光國小,65000010,板橋區,香社里、香雅里、社後里（4－28鄰）、中正里、港德里（1－19、21－23鄰）、國光里（1－16鄰）、自立里,"一、光榮里、社後里（1－3鄰）【國光、板橋國小自由學區】 二、港尾里【國光、文德國小自由學區】","◎港德里可經里辦公處證明後請文德國小考量配合就讀。 ◎自立里可經里辦公處證明後請板橋國小考量配合就讀。 ◎國光里(1-16鄰)可經里辦公處證明後請文德國小考量配合就讀（5名為限）；中正里(12-18、25、27鄰)自112學年度起可經里辦公處證明後請文德國小考量配合就讀（10名為限）。
◎社後里5-7鄰自110學年度起每年開放10名學童經里辦公處證明後可申請就讀板橋國小，惟須符合額滿學校之相關申請程序。
◎中正里113學年度維持不變，自114學年度起調整為 12-18、24、25、27鄰可經里辦公處證明後請文德國小考量配合就讀（10 名為限）。"
382086400Y,中山國小,65000010,板橋區,大安里、福安里、聚安里、龍安里、中山里、復興里,,
382070500Y,沙崙國小,65000010,板橋區,溪北里、崑崙里、成和里,,"◎108學年度調整過渡期間，溪洲里、溪福里、堂春里學生仍可就讀沙崙國小。 ◎109學年度起溪洲里、溪福里、堂春里正式調整為溪州國小基本學區，並於109學年度學區調整會議中研議開放上述3里每里5名學童申請就讀沙崙國小之相關措施。
◎110學年度起取消溪洲里、溪福里與堂春里每里5位名額就讀沙崙國小。"
