"seqno","title","county","countycode","town","areacode","address","person_in_charge","localcallservice","bed_for_caring_quantity","bed_for_nursing_quantity","bed_for_longterm_quantity","bed_for_azh_quantity"
"1","財團法人新北市私立台灣天主教安老院","新北市","65000","八里區","65000280","中山路1段33號","顧志珍","(02)26102034","25","53","0","0"
"2","新北市私立仁惠老人長期照顧中心(養護型)","新北市","65000","三芝區","65000210","四棧橋53之11號","楊玫芳","(02)26363222","49","0","0","0"
"3","新北市私立長勤老人長期照顧中心(養護型)","新北市","65000","三芝區","65000210","長勤街63號、63號2樓、63號3樓、63號4樓","高唯斯","(02)26366887","49","0","0","0"
"4","財團法人台灣基督長老教會雙連教會附設新北市私立雙連安養中心","新北市","65000","三芝區","65000210","後厝里北勢子22-17號","蔡政道","(02)26365999","154","212","0","66"
"5","新北市私立鴻澄老人長期照顧中心(養護型)","新北市","65000","三重區","65000020","三和路2段30號3樓、3樓之1、3樓之2、3樓之3、3樓之4","王衣緹","(02)29791130","35","0","0","0"
"6","新北市私立大德老人長期照顧中心(養護型)","新北市","65000","三重區","65000020","三和路4段103-1號4樓","許浩崇","(02)22870555","39","0","0","0"
"7","新北市私立心侑老人長期照顧中心(養護型)","新北市","65000","三重區","65000020","三和路4段95之1號2樓、3樓","廖培鈞","(02)22819099","29","0","0","0"
"8","新北市私立幸福老人長期照顧中心(養護型)","新北市","65000","三重區","65000020","中興北街54號5樓","黃明全","(02)85122666","46","0","0","0"
"9","新北市私立豐禾老人長期照顧中心(養護型)","新北市","65000","三重區","65000020","成功路79號1樓-5樓","陳靜琴","(02)89720166","45","0","0","0"
"10","新北市私立靜園老人長期照顧中心(養護型)","新北市","65000","三重區","65000020","成功路97號10樓","陳冠榮","(02)89731580","49","0","0","0"
"11","新北市私立今光愛心老人養護中心","新北市","65000","三重區","65000020","成功路97號2樓","廖朝生","(02)29768888","48","0","0","0"
"12","新北市私立大安老人長期照顧中心(養護型)","新北市","65000","三重區","65000020","自強路4段110號3樓","杜克堅","(02)89819911","24","0","0","0"
"13","新北市私立祐安老人長期照顧中心(養護型)","新北市","65000","三重區","65000020","自強路4段6號3樓","黃鼎晉","(02)22866311","49","0","0","0"
"14","新北市私立沐心老人長期照顧中心(養護型)","新北市","65000","三重區","65000020","重新路5段635之2號、635之2號2樓、635之2號3樓","王寶琇","(02)29990737","46","0","0","0"
"15","新北市私立圓滿老人長期照顧中心(養護型)","新北市","65000","三重區","65000020","重新路5段639號10樓、639之1號10樓","郭達詠","(02)29998867","39","0","0","0"
"16","新北市私立蓮愛老人養護中心","新北市","65000","三重區","65000020","溪尾街41號2樓","吳馥珍","(02)29896770","32","0","0","0"
"17","新北市私立安泰老人長期照顧中心(養護型)","新北市","65000","三重區","65000020","福德北路4號3樓、4樓","周見賢","(02)29768311","30","0","0","0"
"18","新北市私立長園老人長期照顧中心(養護型)","新北市","65000","三重區","65000020","龍門路1號3樓、3樓之1","洪斌峰","(02)29860063","46","0","0","0"
"19","新北市私立慈恩老人長期照顧中心(養護型)","新北市","65000","三峽區","65000090","大利路2號(1、2層)、4號、6號2樓","林英哲","(02)26738500","45","0","0","0"
"20","新北市私立安康老人長期照顧中心(養護型)","新北市","65000","三峽區","65000090","中華路22號3樓之3","鄭淑芬","(02)86719488","31","0","0","0"
"21","新北市私立清安養老院老人長期照顧中心(養護型)","新北市","65000","三峽區","65000090","介壽路1段278號3樓","陳少宜","(02)86722809","48","0","0","0"
"22","新北市私立清平養老院老人長期照顧中心(養護型)","新北市","65000","三峽區","65000090","介壽路1段278號4樓","陳如山","(02)86725678","48","0","0","0"
"23","新北市私立清心養老院老人長期照顧中心(養護型)","新北市","65000","三峽區","65000090","介壽路1段278號5樓","許月瑛","(02)86721354","48","0","0","0"
"24","新北市私立清氣養老院老人長期照顧中心(養護型)","新北市","65000","三峽區","65000090","介壽路1段278號6樓","盧蕓華","(02)86721354","48","0","0","0"
"25","新北市私立清福養老院老人長期照顧中心(養護型)","新北市","65000","三峽區","65000090","介壽路1段278號7樓","洪佳穗","(02)86725678","48","0","0","0"
"26","新北市私立清景養老院老人長期照顧中心(養護型)","新北市","65000","三峽區","65000090","介壽路1段280號3樓","陳如山","(02)86725678","48","0","0","0"
"27","新北市私立清風養老院老人長期照顧中心(養護型)","新北市","65000","三峽區","65000090","介壽路1段280號4樓","陳文堯","(02)86725678","48","0","0","0"
"28","新北市私立清照養老院老人長期照顧中心(養護型)","新北市","65000","三峽區","65000090","介壽路1段280號5樓","陳如廷","(02)86725678","48","0","0","0"
"29","新北市私立清日養老院老人長期照顧中心(養護型)","新北市","65000","三峽區","65000090","介壽路1段280號6樓","陳意星","(02)86722937","48","0","0","0"
"30","新北市私立清春養老院老人長期照顧中心(養護型)","新北市","65000","三峽區","65000090","介壽路1段280號7樓","陳文堯","(02)86726395","48","0","0","0"
