"agency codes",sname,areacode,district,pzoon,fzoon,mark
"301010100T","忠孝國小","61000010","中正區","忠勤里、東門里、龍光里","水源里【忠孝、河堤國小自由學區】",""
"301020200T","螢橋國小","61000010","中正區","廈安里、廣州里、永功里","南門里【螢橋、南門國小自由學區】",""
"301030300T","新和國小","61000010","中正區","頂東里、新營里、永功里","",""
"302010100T","蓬萊國小","61000020","大同區","隆和里、蓬萊里、玉泉里","",""
"302020200T","雙連國小","61000020","大同區","雙連里、星明里、雙園里","國順里【雙連、太平國小自由學區】",""
"302030300T","太平國小","61000020","大同區","延平里、保安里","",""
"303010100T","中山國小","61000030","中山區","中山里、晴光里、行政里","",""
"303020200T","大佳國小","61000030","中山區","劍潭里、大佳里、康樂里","",""
"303030300T","永安國小","61000030","中山區","永安里、新生里","",""
"304010100T","民權國小","61000040","松山區","民權里、新益里、民有里","",""
"304020200T","民生國小","61000040","松山區","民生里、東榮里、新東里","",""
"304030300T","西松國小","61000040","松山區","松基里、慈祐里","",""
"305010100T","龍門國小","61000050","大安區","龍門里、龍泉里、古莊里","",""
"305020200T","龍安國小","61000050","大安區","龍生里、龍坡里、住安里","",""
"305030300T","仁愛國小","61000050","大安區","仁愛里、仁慈里","",""
"306010100T","老松國小","61000060","萬華區","龍山里、青山里、富福里","",""
"306020200T","萬華國小","61000060","萬華區","萬華里、保德里、福音里","",""
"306030300T","萬大國小","61000060","萬華區","萬大里、糖部里","",""
"307010100T","永春國小","61000070","信義區","永春里、永吉里、永泰里","",""
"307020200T","信義國小","61000070","信義區","信義里、興雅里","",""
"307030300T","永吉國小","61000070","信義區","永吉里、廣居里","",""
"308010100T","士林國小","61000080","士林區","舊佳里、新佳里、福林里","",""
"308020200T","雨聲國小","61000080","士林區","雨農里、雨聲里","",""
"308030300T","雨農國小","61000080","士林區","岩山里、士東里","",""
"309010100T","北投國小","61000090","北投區","八仙里、立賢里、新北投里","",""
"309020200T","文化國小","61000090","北投區","文化里、智仁里","",""
"310010100T","麗山國小","61000100","內湖區","麗山里、麗風里、湖興里","",""
"310020200T","內湖國小","61000100","內湖區","內湖里、瑞光里、紫陽里","",""
"311010100T","南港國小","61000110","南港區","南港里、合成里、玉成里","",""
"312010100T","木柵國小","61000120","文山區","木柵里、博嘉里、樟新里","",""
