seqno,facility_name,city,district,address,person_in_charge,phone,bed_caring,bed_nursing,bed_longterm,bed_azh
T01,財團法人臺北市私立廣慈博愛院,臺北市,信義區,福德街200號,張承辦,(02)2728-3700,80,40,0,0
T02,臺北市浩然敬老院,臺北市,北投區,義理街100號,李院長,(02)2898-1822,150,30,0,0
T03,財團法人兆如老人安養護中心,臺北市,士林區,福國路69號,陳主任,(02)2882-0011,90,60,0,0
T04,財團法人臺北市私立慈祐之家,臺北市,大安區,仁愛路四段25巷7-1號,林督導,(02)2705-1188,45,20,0,0
T05,國軍臺北榮譽國民之家,臺北市,大安區,辛亥路三段123號,蔡主任,(02)2733-1999,200,80,0,0
T06,臺北市私立至善老人長期照顧中心,臺北市,中正區,牯嶺街60巷10號,黃督導,(02)2392-7766,55,30,0,0
T07,臺北市私立崇仁老人長期照顧中心,臺北市,中山區,新生北路三段80巷8號,吳院長,(02)2596-8800,40,25,0,0
T08,臺北市私立廣恩老人養護中心,臺北市,大同區,寧夏路115號,鄭主任,(02)2557-3322,38,18,0,0
T09,臺北市私立同仁老人長期照顧中心,臺北市,松山區,八德路四段760巷50弄8號,謝主任,(02)2767-4455,42,22,0,0
T10,臺北市私立永福老人長期照顧中心,臺北市,萬華區,西藏路200號,周院長,(02)2308-7799,48,28,0,0
T11,臺北市私立康明老人長期照顧中心,臺北市,內湖區,成功路四段180巷15弄6號,曾督導,(02)2790-3344,52,30,0,0
T12,臺北市私立建華老人養護中心,臺北市,文山區,木柵路三段220號,劉院長,(02)2939-2266,46,24,0,0
T13,臺北市私立信義老人安養中心,臺北市,信義區,松德路85巷10號,許督導,(02)2759-8811,60,28,0,0
T14,臺北市私立北投祥和老人長期照顧中心,臺北市,北投區,中央北路二段150號,洪主任,(02)2891-5566,44,26,0,0
T15,臺北市私立南港頤安老人安養中心,臺北市,南港區,昆陽街90號,葉院長,(02)2785-7700,55,25,0,0
