專案名稱,抽驗日期,分類,檢體名稱,抽驗行政郵遞區號,抽驗地點,檢驗結果,不符合規定原因
蔬果,20240102,柑桔類,金棗,104,旺旺水果行(龍江水果行)/臺北市中山區龍江路189號,不符合規定,"殺蟲劑Chlorpyrifos	陶斯松0.03ppm(標準：0.01ppm以下)	
殺菌劑Famoxadone	凡殺同0.68ppm(標準：0.01ppm以下)	
殺蟲劑Fenvalerate	芬化利2.8ppm(標準：2.0ppm以下)		"
蔬果,20240102,小葉菜類,九層塔(羅勒),104,龍來餐飲有限公司(儂來美食)/臺北市中山區民生東路2段147巷11弄2-1號,不符合規定,"殺菌劑Boscalid	白克列21.87ppm(標準：0.01ppm以下)	
殺菌劑Procymidone	撲滅寧10.3ppm(標準：5.0ppm以下)	"
蔬果,20240103,小漿果類,大湖草莓,106,一級鮮果商行/臺北市大安區仁愛路4段408號,不符合規定,"殺蟲劑Methomyl	納乃得3.1ppm(標準：2.0ppm以下)	
殺菌劑Pyraclostrobin	百克敏1.4ppm(標準0.5ppm以下)	"
蔬果,20240117,包葉菜類,芥菜(包心芥菜),105,無市招菜攤(陳O宏)/臺北市松山區八德路3段74巷3弄22號,不符合規定,"殺蟲劑Cypermethrin	賽滅寧1.6ppm(標準：1.0ppm以下)	
殺蟲劑Dinotefuran	達特南4.6ppm(標準：2.0ppm以下)	"
蔬果,20240117,小漿果類,日本福岡草莓,105,微風超市股份有限公司(Breeze Super)/臺北市松山區南京東路3段337號2樓,不符合規定,"殺蟲劑Flonicamid	氟尼胺0.22ppm(標準：0.01ppm以下)	"
蔬果,20240116,包葉菜類,結球白菜,111,全聯實業股份有限公司天母天玉分公司/臺北市士林區天母西路3號地下,不符合規定,"殺蟲劑Pyriproxyfen	百利普芬0.08ppm(標準：0.01ppm以下)	"
蔬果,20240102,包葉菜類,刈菜(包心芥菜),104,臺北市第二果菜批發市場18-09號攤/臺北市中山區民族東路336號,不符合規定,"殺菌劑Flutolanil	福多寧0.05ppm(標準：0.01ppm以下)	"
蔬果,20240117,小漿果類,日本熊本草莓,115,阿一蔬果有限公司/臺北市南港區忠孝東路6段85號,不符合規定,"殺蟲劑Flonicamid	氟尼胺0.04ppm(標準：0.01ppm以下)	"
蔬果,20240116,小漿果類,日本MOMO草莓,100,梅林水果行/臺北市中正區開封街1段81、83號1樓,不符合規定,"殺蟲劑Flonicamid	氟尼胺0.03ppm(標準：0.01ppm以下)	"
蔬果,20240117,小葉菜類,芥蘭花,105,天香/臺北市松山區八德路3段76號中崙市場第24號攤,不符合規定,"殺蟲劑Emamectin benzoate	因滅汀0.12ppm(標準：0.05ppm以下)	"
蔬果,20240116,小葉菜類,茼蒿,108,林O省(蔬菜承銷人3067)/臺北市萬華區萬大路533號(第一果菜批發市場地號1610),不符合規定,"殺菌劑Difenoconazole	待克利2.1ppm(標準：1.0ppm以下)	"
蔬果,20240116,小葉菜類,茼蒿,111,錢儷小吃店(錢都日式涮涮鍋)/臺北市士林區福國路71號1樓,不符合規定,"殺菌劑Chlorothalonil四氯異苯腈4.1ppm(標準：2.0ppm以下)	"
蔬果,20240103,小葉菜類,茼蒿,106,三商家購股份有限公司大安樂業門市(美廉社)/臺北市大安區樂業街141號,不符合規定,"殺菌劑Chlorothalonil	四氯異苯腈3.9ppm(標準：2.0ppm以下)	"
蔬果,20240116,小葉菜類,青江菜,100,鼎王國際餐飲股份有限公司無老台北中華分公司(無老鍋西門町店)/臺北市中正區中華路1段55號2樓,不符合規定,"殺蟲劑Tolfenpyrad	脫芬瑞0.9ppm(標準：0.5ppm以下)	"
蔬果,20240102,小漿果類,大湖草莓,104,旺旺水果行（龍江水果行）/臺北市中山區龍江路189號,不符合規定,"殺菌劑Fludioxonil	護汰寧2.2ppm(標準：2.0ppm以下)	"
網路販售市售辣椒粉食品,20240219,包裝,紅辣椒粉,110,"家樂福線上購物
(https://online.carrefour.com.tw/)",不符合規定,"克美素-0.1ppm
(標準：不得檢出)"
網路販售市售辣椒粉食品,20240219,包裝,真好家辣椒粉,110,"Pchome24h購物
(https://24h.pchome.com.tw/)",不符合規定,"1.蘇丹三號-8ppb
(標準：不得檢出)
2.克美素-0.07ppm
(標準：不得檢出)"
網路販售市售辣椒粉食品,20240219,包裝,匈牙利紅椒粉,103,"momo購物網
(https://www.momoshop.com.tw/main/Main.jsp)",不符合規定,"1.二、四地(2,4-D)-0.27ppm
(標準：0.05ppm)
2.克美素-0.16ppm
(標準：不得檢出)"
網路販售市售辣椒粉食品,20240219,包裝,極辣朝天椒,110,"蝦皮購物-紀宸商行-南北貨批發
(https://shopee.tw/jichenhang)",不符合規定,"1.蘇丹三號-4ppb
(標準：不得檢出)
2.克美素-0.06ppm
(標準：不得檢出)"
網路販售市售辣椒粉食品,20240219,包裝,泰式辣椒粉,110,"蝦皮購物-泰菲印越2.0
(https://shopee.tw/tfiv2.0)",不符合規定,"1.蘇丹三號-8ppb
(標準：不得檢出)
2.克美素-0.07ppm
(標準：不得檢出)"
網路販售市售辣椒粉食品,20240219,包裝,細粉紅辣椒,116,遠百企業股份有限公司景美分公司/臺北市文山區景中街30巷12號1.2樓,不符合規定,"克美素-0.08ppm
(標準：不得檢出)"
祭祀食品,20240216,豆乾類,豆干碎丁,110,阿泓潤餅/臺北市信義區吳興街189號,不符合規定,苯甲酸1.25g/kg(標準：0.6g/kg以下)
祭祀食品,20240216,花生粉,花生粉,114,豪棧小吃店/臺北市內湖區內湖路1段285巷59弄1號,不符合規定,總黃麴毒素30.8ug/kg(標準：4ug/kg以下)、黃麴毒素B1 25.2ug/kg (標準：2ug/kg以下)
祭祀食品,20240216,豆乾類,豆干絲,114,"麗山市場第70攤/臺北市內湖區內湖路1段737巷50弄6號	",不符合規定,苯甲酸1.3g/kg(標準：0.6g/kg以下)
生鮮禽畜肉品,20240220,雞肉,烏骨雞,105,新東南海鮮餐廳松山館/臺北市松山區八德路4段656號1樓、2樓,不符合規定,"三甲氧芐氨嘧啶(trimethoprim): 0.1ppm
（標準：0.05ppm）"
生鮮禽畜肉品,20240220,雞肉,烏骨雞,105,武昌市場-無市招攤販/臺北市松山區南京東路5段59巷27弄27號,不符合規定,"三甲氧芐氨嘧啶(trimethoprim): 0.1ppm
（標準：0.05ppm）"
生鮮禽畜肉品,20240221,雞肉,烏骨雞,108,環南市場家禽區-健業生鮮肉品(13號攤)/臺北市萬華區環河南路二段245號 - 家禽區13號攤,不符合規定,"三甲氧芐氨嘧啶(trimethoprim): 0.09ppm
（標準：0.05ppm）"
生鮮禽畜肉品,20240221,雞肉,雞胗,100,南門市場-光揚家禽畜產(7.8號攤)/臺北市中正區羅斯福路一段8號B103-06,不符合規定,"脫氧羥四環黴素(Doxycycline): 0.4ppm
（標準：0.3 ppm）"
生鮮禽畜肉品,20240222,雞肉,雞胗,110,永春市場65號攤-專售花東的雞/臺北市信義區松山路294號,不符合規定,"脫氧羥四環黴素(Doxycycline): 0.8ppm
（標準：0.3 ppm）"
生鮮禽畜肉品,20240229,雞蛋,心樸冷藏鮮雞蛋(白蛋),108,三商家購股份有限公司(美廉社萬華雙園店)/臺北市萬華區雙園街13號1樓,不符合規定,"乃卡巴精(nicarbazin):
0.016 ppm
(標準:不得檢出)"
生鮮禽畜肉品,20240301,雞蛋,紅蛋,104,有利蛋行/臺北市中山區新生北路3段11巷49號,不符合規定,"甲磺氯黴素(Thiamphenicol):
0.005 ppm(標準:不得檢出)
氟滅菌(flumequine):
0.07 ppm(標準:不得檢出)"
油品抽驗計畫,20240220,葡萄籽油,日清葡萄籽油,110,微風超市股份有限公司(Breeze Super)/臺北市信義區松智路17號B1F,不符合規定,檢出反式脂肪酸甲基酯(15項) 0.88 g/100 mL，惟案內產品外包裝營養標示每份(10毫升)反式脂肪含量為「0」，標示不實。
茶葉、花草茶,20240220,花草茶,薰衣草,103,"湘帝蔘茸有限公司/臺北市大同區迪化街1段58號1樓	",不符合規定,"殺蟲劑Acetamiprid	亞滅培
0.21ppm(標準：0.05ppm以下)	"
