抽驗日期,檢體名稱,抽驗地點,檢驗結果,不符合規定原因
20260307,紅藜,食家安飲食文化股份有限公司(北市士林國小),不符合規定,殺菌劑Thifluzamide賽氟滅0.02ppm（標準：不得檢出）
20260316,蕎麥,新北市土城區廣福國小,不符合規定,殺蟲劑Cyromazine 賽滅淨0.14ppm(標準：不得檢出)
20260303,海苔粉,第一餐盒股份有限公司(西松國小),不符合規定,腸桿菌科：1.7x10^4 CFU/mL (標準：10 CFU/mL)
20260327,甜椒,雙翼食品有限公司,不符合規定,撲滅寧:0.02 ppm (標準:0.01 ppm以下)
20260324,麵筋,上將食品有限公司,不符合規定,三甲氧芐氨嘧啶(trimethoprim): 0.09ppm （標準：0.05ppm）
20260322,板豆腐,臺北市松山區介壽國中,不符合規定,殺菌劑Pydiflumetofen	派滅芬0.01ppm(標準：不得檢出)
20260330,玉米筍,上將食品有限公司(文昌國小),不符合規定,腸桿菌科：18 CFU/mL (標準：10 CFU/mL)
20260322,冷凍玉米粒,愛欣食品有限公司,不符合規定,殺蟲劑Cypermethrin	賽滅寧1.6ppm(標準：1.0ppm以下)	 殺蟲劑Dinotefuran	達特南4.6ppm(標準：2.0ppm以下)
20260312,三色豆,新北市新店區中正國小,不符合規定,殺菌劑Mandipropamid	曼普胺0.06ppm(標準：不得檢出) 殺菌劑Oxathiapiprolin	歐西比0.01ppm(標準：不得檢出)
20260306,四角油豆腐,雙翼食品有限公司,不符合規定,殺蟲劑Acetamiprid 亞滅培9.1ppm(標準：2.0ppm以下)  殺菌劑Carbendazim 貝芬替1.3ppm(標準：1.0ppm以下)  殺蟲劑Chlorfenapyr 克凡派3.8ppm(標準：1.0ppm以下)  殺蟲劑Cyantraniliprole 賽安勃0.34ppm(標準：不得檢出)  殺蟲劑Fipronil 芬普尼0.002ppm及芬普尼代謝物Fipronil-sulfone0.002ppm，合計共0.004ppm(標準0.001ppm以下)  殺菌劑Propamocarb hydrochloride 普拔克10.9ppm(標準：10.0ppm以下)
20260306,刀削麵,統鮮美食股份有限公司,不符合規定,檢出反式脂肪酸甲基酯(15項) 0.88 g/100 mL，惟案內產品外包裝營養標示每份(10毫升)反式脂肪含量為「0」，標示不實。
20260330,九層塔,新北市蘆洲區忠義國小,不符合規定,殺菌劑Difenoconazole	待克利1.4ppm(標準：0.5ppm以下)
20260324,醃雪裡紅,久翔食品股份有限公司(武林國小),不符合規定,1.殺蟲劑Chlorfenapyr	克凡派11.0ppm(標準：2.0ppm以下)、Methomyl	納乃得1.5ppm(標準：1.0ppm以下)	 2.產品內附有未檢出農藥殘留之檢驗報告與外包裝標示「安心使用」字樣，標示不實且易生誤解
20260308,蘿蔔乾,新北市新店區雙城國小,不符合規定,總黃麴毒素30.8ug/kg(標準：4ug/kg以下)、黃麴毒素B1 25.2ug/kg (標準：2ug/kg以下)
20260324,鳳梨,臺北市南港區南港國小,不符合規定,1.蘇丹三號-4ppb (標準：不得檢出) 2.克美素-0.06ppm (標準：不得檢出)
20260312,豬後腿肉,新北市三重區碧華國小,不符合規定,殺蟲劑Clothianidin 可尼丁0.07ppm(標準：0.02ppm以下)
20260325,素雞,統鮮美食股份有限公司(葫蘆國小),不符合規定,殺蟲劑Emamectin benzoate 因滅汀總量0.13ppm(標準：0.05ppm以下)  殺蟲劑Fenvalerate 芬化利5.1ppm(標準：2.0ppm以下)  殺蟲劑Methomyl 納乃得5.1ppm(標準：3.0ppm以下)  殺蟲劑Profenophos 佈飛松1.3ppm(標準：1.0ppm以下)  殺菌劑Pyraclostrobin 百克敏3.2ppm(標準：2.0ppm以下)  殺蟲劑Pyriproxyfen 百利普芬0.98ppm(標準：0.01ppm以下)  殺蟲劑Thiodicarb 硫敵克4.4ppm(標準：1.0ppm以下)
20260328,素雞丁,統鮮美食股份有限公司,不符合規定,殺蟲劑Thiamethoxam 賽速安0.46ppm(標準：0.25ppm以下)
20260323,松茸,臺北市文山區力行國小,不符合規定,殺菌劑Dimethomorph 達滅芬4.1ppm(標準：2.5ppm以下)
20260331,胡瓜,全盛美食有限公司(頂埔國小),不符合規定,腸桿菌科：4.6x10^4 CFU/mL (標準：10 CFU/mL)
20260313,鬼頭刀,臺北市文山區興華國小,不符合規定,殺蟲劑Clothianidin 可尼丁0.08ppm(標準：0.02ppm以下)  殺蟲劑Dichlorvos二氯松0.04ppm(標準：不得檢出) 殺蟲劑Trichlorfon 三氯松0.19ppm(標準：0.01ppm以下)
20260315,韭菜,上將食品有限公司(中正國小),不符合規定,殺蟲劑Bifenthrin	畢芬寧 0.07ppm(標準：0.03ppm以下) 殺蟲劑Cypermethrin	賽滅寧 0.06ppm(標準：0.03ppm以下) 殺蟲劑Fipronil	芬普尼 0.003ppm(標準：0.002ppm以下)	 殺蟲劑Triazophos	三落松 0.08ppm(標準：0.05ppm以下)
20260305,鹹酸菜,新北市樹林區三多國中,不符合規定,殺蟲劑Chlorpyrifos陶斯松0.45ppm(標準：不得檢出) 殺菌劑Cyazofamid	賽座滅0.03ppm(標準：0.01ppm以下)	 殺蟲劑Imidacloprid	益達胺1.2ppm(標準：1.0ppm以下)
20260323,刨絲乾酪,統鮮美食股份有限公司(大同國小),不符合規定,殺蟲劑Chlorpyrifos	陶斯松0.28ppm(標準：0.01ppm以下)
